City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Lixourion,GR,38.2019,20.4314,67.68,65,100,4.85,overcast clouds
328,Rafaela,AR,-31.2503,-61.4867,62.98,43,4,8.25,clear sky
329,Sept-Iles,CA,50.2001,-66.3821,49.05,92,100,3.44,overcast clouds
330,Eucaliptus,BO,-17.5833,-67.5167,46.49,6,0,12.08,clear sky
331,Belize,BZ,17.25,-88.75,80.92,95,100,3.29,overcast clouds
332,Chagoda,RU,59.164,35.3285,50.13,74,100,13.44,overcast clouds
333,Skoghall,SE,59.3232,13.4655,52.36,71,20,13.8,few clouds
334,Ahvaz,IR,31.3203,48.6693,78.75,29,0,4.61,clear sky
335,Paarl,ZA,-33.7338,18.9752,56.01,89,0,4.47,clear sky
336,Chapais,CA,49.7834,-74.8492,38.98,97,100,10.31,overcast clouds
337,Sumbe,AO,-11.2061,13.8437,72.52,86,72,5.21,broken clouds
338,Dudinka,RU,69.4058,86.1778,26.65,89,100,14.27,overcast clouds
339,Qaqortoq,GL,60.7167,-46.0333,32.95,79,100,5.01,overcast clouds
340,Palora,EC,-1.7,-77.9333,66.31,98,100,2.93,moderate rain
341,Port Hawkesbury,CA,45.6169,-61.3485,57.18,99,100,10.36,mist
342,Saint-Augustin,CA,51.226,-58.6502,50.9,88,100,8.14,overcast clouds
